Folder_name,N_NODES,K_NEIGHBOR,MEMORY_SIZE,CONFIDENCE,CONFIDENCE_THR,FILTER,ONE_SHOT,INITIAL_THR,UPDATE_THR,K,ITERATION,N_TRAIN,N_TRAIN_USED,N_TEST,N_TEST_USED,original,accuracy_scores,accuracy_coordinates_test,accuracy_coordinates_centroids,accuracy_coordinates_normalization_test,accuracy_coordinates_normalization_centroids
log_1_10_10_0_0.0_CONF_1_0_0_2_50_614_614_154_154,1,10,10,0,0,CONF,1,0,0,2,50,614,614,154,154,[77.27],0.792207792,0.701298701,0.331168831,0.61038961,0.668831169
log_1_10_10_1_0.01_CONF_1_0_0_2_50_614_614_154_154,1,10,10,1,0.01,CONF,1,0,0,2,50,614,614,154,154,[77.27],0.792207792,0.701298701,0.331168831,0.61038961,0.668831169
log_1_10_10_1_0.05_CONF_1_0_0_2_50_614_614_154_154,1,10,10,1,0.05,CONF,1,0,0,2,50,614,614,154,154,[77.27],0.792207792,0.701298701,0.331168831,0.61038961,0.668831169
log_1_10_10_1_0.1_CONF_1_0_0_2_50_614_614_154_154,1,10,10,1,0.1,CONF,1,0,0,2,50,614,614,154,154,[77.27],0.792207792,0.701298701,0.331168831,0.61038961,0.668831169
log_1_10_10_1_0.2_CONF_1_0_0_2_50_614_614_154_154,1,10,10,1,0.2,CONF,1,0,0,2,50,614,614,154,154,[77.27],0.792207792,0.701298701,0.331168831,0.61038961,0.668831169
log_1_10_10_1_0.3_CONF_1_0_0_2_50_614_614_154_154,1,10,10,1,0.3,CONF,1,0,0,2,50,614,614,154,154,[77.27],0.792207792,0.701298701,0.331168831,0.61038961,0.668831169
log_1_10_10_1_0.4_CONF_1_0_0_2_50_614_614_154_154,1,10,10,1,0.4,CONF,1,0,0,2,50,614,614,154,154,[77.27],0.792207792,0.701298701,0.331168831,0.61038961,0.668831169
log_1_10_10_1_0.5_CONF_1_0_0_2_50_614_614_154_154,1,10,10,1,0.5,CONF,1,0,0,2,50,614,614,154,154,[77.27],0.792207792,0.701298701,0.331168831,0.61038961,0.668831169
log_1_10_10_1_0.6_CONF_1_0_0_2_50_614_614_154_154,1,10,10,1,0.6,CONF,1,0,0,2,50,614,614,154,154,[77.27],0.792207792,0.701298701,0.331168831,0.61038961,0.668831169
log_1_10_10_1_0.7_CONF_1_0_0_2_50_614_614_154_154,1,10,10,1,0.7,CONF,1,0,0,2,50,614,614,154,154,[77.27],0.792207792,0.701298701,0.331168831,0.61038961,0.668831169
log_1_10_10_1_0.8_CONF_1_0_0_2_50_614_614_154_154,1,10,10,1,0.8,CONF,1,0,0,2,50,614,614,154,154,[77.27],0.792207792,0.701298701,0.331168831,0.61038961,0.668831169
